feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,0,4.856707022648304,9.64605294838036,-4.789345925732056,-5.801507042311517,-3.777184809152596,0.5164087329487042,-9.274331784408052,1.7873584398429472e-20,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,1,6.376501359699663,14.85159026891958,-8.475088909219917,-9.55254860962918,-7.397629208810653,0.5497243369435021,-15.416979638088943,1.258542871710434e-53,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,2,7.961902073060554,19.506977182482625,-11.545075109422072,-12.77729088321179,-10.312859335632353,0.6286815172396527,-18.36394866531618,2.5534675846499314e-75,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,3,8.89856964759097,20.531558018487615,-11.632988370896646,-12.673541763496331,-10.59243497829696,0.5308945880610642,-21.912049270237816,1.9940509308216326e-106,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,4,10.25134156923901,18.209821828680294,-7.958480259441284,-8.59794057067993,-7.31901994820264,0.3262552608360431,-24.39341587641326,2.0087245230941129e-131,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,5,12.076526270826113,18.92529044942324,-6.848764178597127,-7.419814706461652,-6.277713650732602,0.2913523101349619,-23.506812681267583,3.4742439499269974e-122,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,6,13.981209005040489,17.391407238757722,-3.4101982337172334,-3.9261440508852914,-2.8942524165491754,0.26323766182043784,-12.954826486961544,2.206344039015147e-38,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,7,16.07005527616352,17.919013314821207,-1.8489580386576883,-2.326389160934764,-1.3715269163806125,0.24358730728422232,-7.5905352346634745,3.185867386171188e-14,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,8,16.979350483077763,17.709352160183077,-0.7300016771053137,-1.2254080810072439,-0.23459527320338364,0.25275836933771945,-2.8881404758943217,0.003875267602773047,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,9,18.98076777317392,20.524969833206896,-1.5442020600329762,-2.1353377252826466,-0.9530663947833059,0.30159982920901546,-5.120036254937033,3.054769235767704e-07,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
