feature,feature_display,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,mid_mean,low_mean,mid_minus_low,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,0,0.1432109921682556,0.13938190030348913,0.0038290918647664873,-0.0026900410124044965,0.010348224741937471,0.003326088202638257,1.1512298025437953,0.24963770751888603,inconclusive,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,1,0.14624206405602785,0.13676728803152924,0.009474776024498616,0.0030681259871112353,0.015881426061885997,0.003268698998667031,2.898638274237674,0.0037478700809277492,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,2,0.14996553901723278,0.13549441865001344,0.014471120367219342,0.008505622223288406,0.02043661851115028,0.0030436215020055797,4.754572918374925,1.988663573679842e-06,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,3,0.15323670854089766,0.13717511747041605,0.016061591070481607,0.01034358979125343,0.021779592349709782,0.002917347591442948,5.505545899841641,3.6802605380221673e-08,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,4,0.1529558896071552,0.13388103383445,0.019074855772705207,0.014010324426642528,0.024139387118767886,0.002583944564317693,7.382068499500508,1.5584896770481703e-13,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,5,0.1562137068255081,0.1299397368398269,0.026273969985681184,0.021231536867563204,0.03131640310379916,0.002572669958223458,10.212724683824005,1.739113606469435e-24,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,6,0.16179226861404578,0.13009381263743341,0.03169845597661236,0.027089313446910693,0.03630759850631403,0.0023516033314804423,13.479508024279216,2.0647902480632186e-41,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,7,0.17058037531657017,0.13387551603913095,0.03670485927743922,0.0323238629912532,0.041085855563625234,0.0022352021868296,16.421270296581632,1.3471659032488168e-60,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,8,0.1641018951647874,0.13478052029645865,0.029321374868328753,0.025272539771615345,0.03337020996504216,0.002065732192200718,14.194180145438585,9.954379680726732e-46,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,9,0.16400176916616765,0.13928923188083128,0.024712537285336372,0.019803486571732733,0.029621587998940012,0.0025046177110222643,9.866790119938067,5.799066957846619e-23,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
