subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv
raw,gpt2,arity,0,iso,0,0.006106713321059942,0.0060493433848023415,0.006168639753013849,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,1,0.012918009422719479,0.012747924774885178,0.01320449635386467,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,2,0.01384391263127327,0.01362751517444849,0.014207063242793083,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,3,0.015187916345894337,0.014920702204108238,0.015611529350280762,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,4,0.016779473051428795,0.016465239226818085,0.017254771664738655,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,5,0.01670132204890251,0.016382744535803795,0.01715044304728508,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,6,0.018865233287215233,0.01851280964910984,0.019394533708691597,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,7,0.018482837826013565,0.01813000626862049,0.01899014599621296,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,8,0.02041071467101574,0.02004971355199814,0.02096543274819851,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,9,0.0214032381772995,0.02102787420153618,0.021960148587822914,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,10,0.025829298421740532,0.02534726820886135,0.02649667114019394,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,11,0.016956757754087448,0.01674506813287735,0.017176391556859016,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,12,0.0020185380708426237,0.0020013488829135895,0.002035653218626976,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,0,0.008818143978714943,0.008748753927648067,0.008939948864281178,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,1,0.019412800669670105,0.019185183569788933,0.019712280482053757,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,2,0.02764107473194599,0.027334628626704216,0.0280486810952425,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,3,0.02688896842300892,0.02653288096189499,0.027258597314357758,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,4,0.02991284802556038,0.029516199603676796,0.03034837171435356,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,5,0.030578598380088806,0.03010311909019947,0.030897846445441246,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,6,0.030068522319197655,0.0296446792781353,0.030466560274362564,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,7,0.029082071036100388,0.02870405651628971,0.029445163905620575,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,8,0.026746349409222603,0.026363637298345566,0.02707557938992977,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,9,0.028808314353227615,0.028329288586974144,0.029236260801553726,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,10,0.032236430794000626,0.03155534714460373,0.03270062059164047,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,11,0.022118670865893364,0.02177581563591957,0.022459987550973892,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,12,0.0017822373192757368,0.0017614986281841993,0.0018048434285447001,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,0,0.008605166338384151,0.00853199977427721,0.008744318969547749,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,1,0.018280137330293655,0.018012505024671555,0.01855613850057125,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,2,0.027957461774349213,0.027468200773000717,0.028602290898561478,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,3,0.030133219435811043,0.029653312638401985,0.03059101291000843,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,4,0.03131752461194992,0.030853550881147385,0.031805116683244705,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,5,0.031540654599666595,0.031046370044350624,0.03208150342106819,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,6,0.03185947984457016,0.03138133883476257,0.03241446986794472,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,7,0.029615003615617752,0.029254941269755363,0.030063260346651077,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,8,0.02681712806224823,0.026542535051703453,0.027202362194657326,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,9,0.029789943248033524,0.02924339286983013,0.03034823015332222,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,10,0.030218828469514847,0.02985696867108345,0.030734781175851822,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,11,0.016945678740739822,0.016712350770831108,0.01738187111914158,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,12,0.0017882500542327762,0.0017677652649581432,0.0018131851684302092,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,0,0.008049510419368744,0.007955134846270084,0.00815777387470007,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,1,0.01664382964372635,0.016331322491168976,0.01697179302573204,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,2,0.024079961702227592,0.023639315739274025,0.02451842650771141,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,3,0.026306767016649246,0.0258273184299469,0.026711679995059967,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,4,0.026924993842840195,0.02642190083861351,0.0273736622184515,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,5,0.026796573773026466,0.02635846845805645,0.027162091806530952,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,6,0.026996664702892303,0.026601087301969528,0.027304159477353096,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,7,0.025801019743084908,0.025364747270941734,0.02609742060303688,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,8,0.02407325804233551,0.023668108507990837,0.024376321583986282,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,9,0.026194879785180092,0.025894852355122566,0.02651328220963478,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,10,0.02286515198647976,0.022503824904561043,0.02332596853375435,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,11,0.013477602042257786,0.013209187425673008,0.013719502836465836,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,12,0.0017197130946442485,0.0016977579798549414,0.0017473724437877536,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,0,0.00805037934333086,0.007962577044963837,0.00813647173345089,13911,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,1,0.017408406361937523,0.01705428957939148,0.01767309382557869,13911,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,2,0.026193616911768913,0.025729838758707047,0.026640014722943306,13911,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,3,0.027813952416181564,0.027475954964756966,0.02831200882792473,13911,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,4,0.0277421697974205,0.027346111834049225,0.028274232521653175,13911,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,5,0.02751399576663971,0.027070512995123863,0.028003398329019547,13911,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,6,0.027145903557538986,0.02675720863044262,0.027567490935325623,13911,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,7,0.02576596476137638,0.025496765971183777,0.026197267696261406,13911,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,8,0.023796208202838898,0.02347043715417385,0.02421719767153263,13911,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,9,0.02483244240283966,0.02445581741631031,0.025197496637701988,13911,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,10,0.021830353885889053,0.021616606041789055,0.0221610888838768,13911,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,11,0.013717884197831154,0.01353567373007536,0.013978395611047745,13911,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,12,0.0017487338045611978,0.001722835237160325,0.0017771674320101738,13911,last,en_ewt-ud-train_sentences.csv
