feature,feature_display,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_kind,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,bootstrap_csv,tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,low,Low Valency (0-1 dependents),0,0.13938190030348913,0.13351448546234007,0.14524931514463818,0.0029935790005862473,2833,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,bootstrap_csv,tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,low,Low Valency (0-1 dependents),1,0.13676728803152924,0.1308424655624374,0.14269211050062108,0.0030228686066795145,2833,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,bootstrap_csv,tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,low,Low Valency (0-1 dependents),2,0.13549441865001344,0.1298680497417986,0.14112078755822827,0.0028705963817422637,2833,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,bootstrap_csv,tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,low,Low Valency (0-1 dependents),3,0.13717511747041605,0.13177072139343,0.14257951354740211,0.0027573449372377797,2833,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,bootstrap_csv,tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,low,Low Valency (0-1 dependents),4,0.13388103383445,0.12914353225750172,0.13861853541139826,0.002417092641300133,2833,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,bootstrap_csv,tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,low,Low Valency (0-1 dependents),5,0.1299397368398269,0.1251527187331115,0.1347267549465423,0.002442356176895602,2833,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,bootstrap_csv,tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,low,Low Valency (0-1 dependents),6,0.13009381263743341,0.12575174021074104,0.1344358850641258,0.0022153430748430456,2833,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,bootstrap_csv,tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,low,Low Valency (0-1 dependents),7,0.13387551603913095,0.12975683144446884,0.13799420063379306,0.002101369691154132,2833,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,bootstrap_csv,tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,low,Low Valency (0-1 dependents),8,0.13478052029645865,0.13098046461687918,0.13858057597603812,0.0019388039181527886,2833,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,bootstrap_csv,tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,low,Low Valency (0-1 dependents),9,0.13928923188083128,0.13460585967458047,0.1439726040870821,0.0023894756154340885,2833,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
