model,model_tag,word_rep_mode,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
bert-base-uncased,bert-base-uncased,first,mind_ml,0,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mind_ml,1,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mind_ml,2,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mind_ml,3,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mind_ml,4,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mind_ml,5,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mind_ml,6,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mind_ml,7,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mind_ml,8,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mind_ml,9,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mind_ml,10,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mind_ml,11,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mind_ml,12,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mind_ml,0,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mind_ml,1,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mind_ml,2,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mind_ml,3,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mind_ml,4,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mind_ml,5,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mind_ml,6,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mind_ml,7,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mind_ml,8,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mind_ml,9,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mind_ml,10,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mind_ml,11,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mind_ml,12,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mind_ml,0,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mind_ml,1,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mind_ml,2,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mind_ml,3,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mind_ml,4,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mind_ml,5,10.0,10.0,10.0,10000,en_ewt-ud-train_sentences.csv
