feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,0,519.2201559124388,630.4830322283055,-111.26287631586672,-116.14997809126774,-106.3757745404657,2.493419273163785,-44.62261020975039,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,1,591.7649879747546,655.833626145898,-64.06863817114345,-66.9684314935134,-61.16884484877348,1.4794863889642682,-43.304648592269544,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,2,624.8643340877107,661.6604491479786,-36.79611506026788,-38.70204387383272,-34.89018624670304,0.9724126599820634,-37.84002057413218,2.4985230258e-313,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,3,639.4124501394311,665.7259831824207,-26.313533042989548,-27.83135631679879,-24.795709769180306,0.7743996294945116,-33.97926863700293,4.509894627129324e-253,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,4,655.0586079977902,670.3492325326549,-15.290624534864719,-16.420821053454027,-14.16042801627541,0.5766308768312794,-26.517179619118302,6.142799888123193e-155,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,5,669.6046081081117,674.7085576405176,-5.1039495324058635,-6.027816602936825,-4.1800824618749015,0.47136075027089913,-10.82811738031335,2.5330969927629526e-27,supports_negative_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,6,681.8843195673377,679.3349405392821,2.5493790280555686,1.9307663198437557,3.1679917362673815,0.3156187286794964,8.0774009790921,6.616171412064836e-16,supports_positive_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,7,689.3061022426353,682.2648431496627,7.041259092972609,6.382159775050319,7.7003584108949,0.3362751622052501,20.938980586008554,2.3646457157904505e-97,supports_positive_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,8,690.6214772216612,682.1593497046061,8.462127517055023,7.875438516906564,9.048816517203482,0.2993311225247242,28.270122550841894,8.054392754577507e-176,supports_positive_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,9,691.5896270680469,684.835855886211,6.753771181835873,6.034722878090201,7.472819485581545,0.3668613794620777,18.40959981053009,1.1003261335464986e-75,supports_positive_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv,10,689.5853441646825,680.5146658871975,9.070678277485058,8.32308090782835,9.818275647141766,0.3814272294166879,23.780888143084955,5.266584734044907e-125,supports_positive_group_greater,normal_approx_from_independent_group_ci,Tokens before their syntactic head differ from tokens after their syntactic head.,token_weighted_positive_minus_negative
