subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv
raw,gpt2,arity,0,iso,0,0.01900923065841198,0.0187178123742342,0.01934725046157837,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,1,0.046109575778245926,0.04549476504325867,0.046930935233831406,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,2,0.060012031346559525,0.05907655507326126,0.061198119074106216,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,3,0.07677827030420303,0.07544529438018799,0.07857193052768707,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,4,0.09719951450824738,0.09549002349376678,0.09959539771080017,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,5,0.10419344156980515,0.10221432149410248,0.10683939605951309,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,6,0.12105365097522736,0.11908326297998428,0.12376603484153748,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,7,0.12314220517873764,0.12097450345754623,0.12602542340755463,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,8,0.13390378654003143,0.13177116215229034,0.13663549721240997,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,9,0.13755835592746735,0.13547077775001526,0.14011098444461823,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,10,0.1447799652814865,0.1431390643119812,0.14660011231899261,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,11,0.09145374596118927,0.09060720354318619,0.09225751459598541,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,iso,12,0.0015353639610111713,0.001497517921961844,0.001573480200022459,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,0,0.045288849622011185,0.04460403323173523,0.04639985039830208,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,1,0.11855006963014603,0.11738041788339615,0.1201244667172432,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,2,0.15482614934444427,0.15334749221801758,0.1560652107000351,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,3,0.1683024913072586,0.16641907393932343,0.16990156471729279,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,4,0.18953979015350342,0.188021719455719,0.19117286801338196,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,5,0.19510871171951294,0.1934216469526291,0.19655340909957886,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,6,0.19434724748134613,0.19313770532608032,0.1954861283302307,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,7,0.1912306845188141,0.18956296145915985,0.1924765259027481,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,8,0.18275083601474762,0.1808614879846573,0.18428100645542145,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,9,0.18871858716011047,0.18684671819210052,0.19021201133728027,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,10,0.19450418651103973,0.19246067106723785,0.19600872695446014,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,11,0.13885469734668732,0.13693390786647797,0.14060470461845398,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,iso,12,0.0010680512059479952,0.001018527545966208,0.0011221908498555422,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,0,0.043170928955078125,0.04243802651762962,0.04445405676960945,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,1,0.11893248558044434,0.11733539402484894,0.1206020712852478,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,2,0.15896427631378174,0.15695565938949585,0.1605694442987442,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,3,0.1737625002861023,0.1716882735490799,0.17545942962169647,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,4,0.18975062668323517,0.18772628903388977,0.19174742698669434,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,5,0.19302751123905182,0.19120457768440247,0.19484229385852814,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,6,0.194499209523201,0.19292783737182617,0.1962948739528656,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,7,0.1906631588935852,0.18908467888832092,0.19274885952472687,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,8,0.18166275322437286,0.1802397072315216,0.18370090425014496,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,9,0.1868273913860321,0.18534135818481445,0.18840081989765167,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,10,0.1829655021429062,0.18168558180332184,0.18470856547355652,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,11,0.11105526238679886,0.10959388315677643,0.1136598289012909,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,2,iso,12,0.0010787806240841746,0.0010312253143638372,0.0011373672168701887,17546,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,0,0.03870242089033127,0.0378204844892025,0.039589717984199524,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,1,0.10648257285356522,0.10464181751012802,0.10824871063232422,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,2,0.14449569582939148,0.14275626838207245,0.14635789394378662,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,3,0.1582033485174179,0.15631742775440216,0.1599641591310501,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,4,0.1706939935684204,0.1688806712627411,0.17286497354507446,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,5,0.17266395688056946,0.1709684282541275,0.1743919551372528,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,6,0.1727641522884369,0.17114965617656708,0.17438969016075134,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,7,0.16953161358833313,0.16791561245918274,0.17124910652637482,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,8,0.16148218512535095,0.15997327864170074,0.16329339146614075,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,9,0.16348373889923096,0.16224749386310577,0.1653444468975067,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,10,0.14776062965393066,0.14566801488399506,0.14977169036865234,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,11,0.08276877552270889,0.08077439665794373,0.08435212075710297,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,3,iso,12,0.0009150541736744344,0.0008636957500129938,0.0009792358614504337,13383,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,0,0.03913075476884842,0.0383002795279026,0.039923328906297684,13911,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,1,0.10746843367815018,0.10506148636341095,0.10945386439561844,13911,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,2,0.1442314088344574,0.14199450612068176,0.14603617787361145,13911,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,4,iso,3,0.15463046729564667,0.15301893651485443,0.1568206250667572,13911,last,en_ewt-ud-train_sentences.csv
