feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,negative,Short tokens (length <= 3),0,0.00921138940623958,0.009147684823171107,0.009275093989308054,3.250233830024099e-05,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,negative,Short tokens (length <= 3),1,0.012434237103701305,0.012332827764793712,0.012535646442608898,5.1739458626323104e-05,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,negative,Short tokens (length <= 3),2,0.015168326607532909,0.015038772905771155,0.015297880309294663,6.609882742946669e-05,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,negative,Short tokens (length <= 3),3,0.016372961804232207,0.01622717449954234,0.016518749108922075,7.438127790299329e-05,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,negative,Short tokens (length <= 3),4,0.017084256583907793,0.016945792517100277,0.01722272065071531,7.064493204465131e-05,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,negative,Short tokens (length <= 3),5,0.01983408381006644,0.019675303746792508,0.019992863873340372,8.101023636425037e-05,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,negative,Short tokens (length <= 3),6,0.02238925918301829,0.022215733707798408,0.02256278465823817,8.853340572442884e-05,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,negative,Short tokens (length <= 3),7,0.023226004419319025,0.023045925377970775,0.023406083460667276,9.187706191237344e-05,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,negative,Short tokens (length <= 3),8,0.025439702824219715,0.025274014752908622,0.025605390895530808,8.453473026076261e-05,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,negative,Short tokens (length <= 3),9,0.02418999406216625,0.024026208682921865,0.024353779441410636,8.356396900223803e-05,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,negative,Short tokens (length <= 3),10,0.023682375567311745,0.023498385388569562,0.023866365746053927,9.38725401745833e-05,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,negative,Short tokens (length <= 3),11,0.02211499395759862,0.021890898117994544,0.0223390897972027,0.00011433461204289605,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,negative,Short tokens (length <= 3),12,0.01831188200002911,0.0180343868829492,0.01858937711710902,0.00014157914136730135,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,positive,Long tokens (length >= 7),0,0.07280894361053944,0.07070621318456156,0.07491167403651731,0.0010728216459070766,33101,"10,7,8,9",4,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,positive,Long tokens (length >= 7),1,0.06724401115124175,0.06558984197095544,0.06889818033152806,0.0008439638674930145,33101,"10,7,8,9",4,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,positive,Long tokens (length >= 7),2,0.06453100101277418,0.06337109852365264,0.06569090350189571,0.00059178698424568,33101,"10,7,8,9",4,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,positive,Long tokens (length >= 7),3,0.05956341036269334,0.05851027055603303,0.06061655016935365,0.0005373162278879132,33101,"10,7,8,9",4,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,positive,Long tokens (length >= 7),4,0.05430541448501067,0.0534923691478825,0.05511845982213883,0.00041481904955518746,33101,"10,7,8,9",4,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,positive,Long tokens (length >= 7),5,0.05145848196426733,0.05071685571150914,0.052200108217025525,0.0003783807412031601,33101,"10,7,8,9",4,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,positive,Long tokens (length >= 7),6,0.04860716472417252,0.04794230138555078,0.049272028062794265,0.00033921598909272664,33101,"10,7,8,9",4,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,positive,Long tokens (length >= 7),7,0.045034289649957454,0.04444839000520787,0.045620189294707035,0.0002989283901783593,33101,"10,7,8,9",4,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,positive,Long tokens (length >= 7),8,0.04050479213385299,0.040027687285810735,0.04098189698189524,0.00024342084083788535,33101,"10,7,8,9",4,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,positive,Long tokens (length >= 7),9,0.036751749317498,0.03631059707054117,0.03719290156445483,0.00022507767701879006,33101,"10,7,8,9",4,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
