subset,model,word_rep_mode,feature,pos,class,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-6,lpca99,0,568.1199951171875,563.0,572.0,4532,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-6,lpca99,1,600.4000244140625,597.0,602.7750244140625,4532,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-6,lpca99,2,610.5599975585938,608.0,612.0,4532,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-6,lpca99,3,618.4000244140625,617.0,620.0,4532,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-6,lpca99,4,626.97998046875,625.0,628.0,4532,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-6,lpca99,5,632.239990234375,631.0,633.0,4532,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-6,lpca99,6,640.02001953125,639.0,641.0,4532,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-6,lpca99,7,645.3800048828125,644.0,646.0,4532,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-6,lpca99,8,645.780029296875,645.0,647.0,4532,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-6,lpca99,9,651.6599731445312,651.0,652.0,4532,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-6,lpca99,10,653.0,652.0,654.0,4532,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-6,lpca99,11,655.3400268554688,654.0,656.0,4532,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-6,lpca99,12,654.0,653.0,655.0,4532,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-5,lpca99,0,347.2799987792969,331.57501220703125,358.54998779296875,1058,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-5,lpca99,1,387.1199951171875,374.45001220703125,395.7749938964844,1058,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-5,lpca99,2,402.2200012207031,391.0,410.0,1058,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-5,lpca99,3,413.82000732421875,404.0,420.7749938964844,1058,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-5,lpca99,4,424.5,415.2250061035156,431.0,1058,en_ewt-ud-train_sentences.csv
VERB_head_dist,bert-base-uncased,first,head_dist,VERB,-5,lpca99,5,431.1199951171875,422.0,438.0,1058,en_ewt-ud-train_sentences.csv
