feature,feature_display,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_kind,source_path,layer,mid_mean,low_mean,mid_minus_low,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,gpt,gpt2,legacy_pdf_isoscore,isoscore,Isotropy,legacy_pdf_digitized,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/plot_POS/gpt_arity_iso_VERB.pdf,0,0.026170957996939484,0.036915964443976955,-0.010745006447037471,-0.012428792166888704,-0.009061220727186238,0.0008590743468628735,-12.507656044294151,6.779532139856584e-36,supports_low_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,gpt,gpt2,legacy_pdf_isoscore,isoscore,Isotropy,legacy_pdf_digitized,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/plot_POS/gpt_arity_iso_VERB.pdf,1,0.07483022495588434,0.08117542722655226,-0.006345202270667913,-0.009261844627380802,-0.003428559913955023,0.0014880828350575968,-4.264011465747684,2.0078913391361694e-05,supports_low_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,gpt,gpt2,legacy_pdf_isoscore,isoscore,Isotropy,legacy_pdf_digitized,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/plot_POS/gpt_arity_iso_VERB.pdf,2,0.09492924906322714,0.09534650094808829,-0.00041725188486115006,-0.003923317811838753,0.003088814042116453,0.0017888091464171446,-0.23325679304406252,0.815562007393951,inconclusive,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,gpt,gpt2,legacy_pdf_isoscore,isoscore,Isotropy,legacy_pdf_digitized,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/plot_POS/gpt_arity_iso_VERB.pdf,3,0.1046177938815369,0.09957112745170565,0.005046666429831245,0.0013365864407182942,0.008756746418944196,0.0018928979536290567,2.6661059145612134,0.007673551341285935,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,gpt,gpt2,legacy_pdf_isoscore,isoscore,Isotropy,legacy_pdf_digitized,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/plot_POS/gpt_arity_iso_VERB.pdf,4,0.11451630382177648,0.10476658557682997,0.009749718244946512,0.005502229214234307,0.013997207275658716,0.002167086240159288,4.498998731231792,6.827426503524009e-06,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,gpt,gpt2,legacy_pdf_isoscore,isoscore,Isotropy,legacy_pdf_digitized,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/plot_POS/gpt_arity_iso_VERB.pdf,5,0.11811721112608753,0.10782639082097215,0.010290820305115383,0.006342388144191168,0.0142392524660396,0.0020145062045531714,5.108358704409126,3.2496928053495325e-07,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,gpt,gpt2,legacy_pdf_isoscore,isoscore,Isotropy,legacy_pdf_digitized,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/plot_POS/gpt_arity_iso_VERB.pdf,6,0.11932022256441299,0.10796615054129924,0.011354072023113754,0.0071575004349150925,0.015550643611312415,0.0021411079531625824,5.302895636972862,1.1398008946072339e-07,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,gpt,gpt2,legacy_pdf_isoscore,isoscore,Isotropy,legacy_pdf_digitized,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/plot_POS/gpt_arity_iso_VERB.pdf,7,0.12272316577396977,0.11019312687058147,0.012530038903388302,0.008747118909933817,0.016312958896842786,0.0019300612211502468,6.492042203677276,8.468052692939337e-11,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,gpt,gpt2,legacy_pdf_isoscore,isoscore,Isotropy,legacy_pdf_digitized,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/plot_POS/gpt_arity_iso_VERB.pdf,8,0.12273375753981758,0.11087520926367939,0.011858548276138192,0.008224031769540459,0.015493064782735926,0.0018543451564274145,6.395005932436493,1.6054112268581484e-10,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,gpt,gpt2,legacy_pdf_isoscore,isoscore,Isotropy,legacy_pdf_digitized,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/plot_POS/gpt_arity_iso_VERB.pdf,9,0.11956241135465963,0.10851578727462614,0.011046624080033485,0.0075657910363007945,0.014527457123766175,0.0017759352263942295,6.220172850820692,4.966074892508035e-10,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,gpt,gpt2,legacy_pdf_isoscore,isoscore,Isotropy,legacy_pdf_digitized,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/plot_POS/gpt_arity_iso_VERB.pdf,10,0.11154369656864845,0.10444685811883936,0.007096838449809087,0.0036055221235978922,0.010588154776020282,0.0017812838399036707,3.9841143173414033,6.773226333508831e-05,supports_mid_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,gpt,gpt2,legacy_pdf_isoscore,isoscore,Isotropy,legacy_pdf_digitized,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/plot_POS/gpt_arity_iso_VERB.pdf,11,0.07340168295506568,0.08125511360258275,-0.007853430647517076,-0.010986830932000036,-0.004720030363034117,0.0015986736145321221,-4.912466544845998,8.993773292694169e-07,supports_low_valency_greater,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,gpt,gpt2,legacy_pdf_isoscore,isoscore,Isotropy,legacy_pdf_digitized,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/plot_POS/gpt_arity_iso_VERB.pdf,12,0.0009738339422755509,0.0010730336953869895,-9.919975311143856e-05,-0.0002525170125439363,5.4117506321059146e-05,7.82230915471927e-05,-1.268164568151726,0.2047391872888639,inconclusive,normal_approx_from_independent_group_ci,Mid-valency verbs (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-valency verbs.,token_weighted_mid_minus_low
