feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv,0,8.432874991617831,0.3286677260371368,8.104207265580694,6.995638561660919,9.21277596950047,0.5655962775100893,14.328607856575095,1.4499810798327543e-46,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv,1,9.36963460040681,6.0283332951084505,3.3413013052983596,2.429770443566948,4.252832167029771,0.4650667661894958,7.184562622427669,6.742267382022604e-13,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv,2,10.309330166122683,7.983073594994169,2.326256571128514,1.4733352054126683,3.17917793684436,0.4351639620999213,5.345701330374331,9.006762056717602e-08,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv,3,11.886823879361913,8.446505481805605,3.4403183975563074,2.6278938968355186,4.252742898277097,0.4145022962861168,8.299877777230872,1.0421855646434583e-16,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv,4,13.005239192331914,9.077755537160813,3.9274836551711,3.2306212569888557,4.624346053353344,0.35554203988890015,11.04646768747336,2.280107878772777e-28,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv,5,13.93667936021117,10.482203764396004,3.4544755958151647,2.8414531562811693,4.0674980353491605,0.3127665507826507,11.044901020172603,2.3202322065875357e-28,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv,6,14.87075520647944,11.767294781162246,3.103460425317195,2.5489257296169745,3.6579951210174153,0.28292586515317375,10.96916474440047,5.37667699999672e-28,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv,7,15.819346786067548,13.141677193506997,2.6776695925605516,2.108732723780516,3.2466064613405874,0.29027391264287533,9.22463051598748,2.845401888794805e-20,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv,8,16.817569270479275,13.835617224244114,2.981952046235161,2.4211614481536925,3.54274264431663,0.286117652082382,10.422118399659475,1.9652631993293203e-25,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv,9,18.789004215145866,15.226529404875752,3.562474810270114,2.935423052889914,4.189526567650314,0.3199243660103061,11.135365695013526,8.439789335503688e-29,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv,10,19.659735794553715,15.602180506045062,4.057555288508652,3.440704573812403,4.6744060032049015,0.3147197523960454,12.892598121399761,4.954604848567374e-38,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv,11,21.244700582591914,17.08811282560154,4.156587756990373,3.564169198672089,4.749006315308656,0.3022543664889202,13.751952718746718,4.957320712484252e-43,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_gride_bert-base-uncased.csv,12,23.378963042384516,17.72436848275678,5.654594559627736,4.984350422777521,6.324838696477951,0.3419612943113342,16.53577364951597,2.027581539932132e-61,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
